id,comment
@alsl06128,쿨 노래는 질리지않고지금들어도 다 넘좋아~이재훈도 변함없는외모ㅋ
@user-oi6vk7rr6s,수없이듣고 불러오며 살았는데 지금 들으면 또 흥얼거리게되는 습관같은 노래 ...이정도면 민요로 지정하자ㅎㅎ
@sbre982,95년생인데 노래넘 죠음 ㅠ ㅠ 이노래에 빠져있숨. 이재훈도 존잘 ㅠ
@koninblack2588,쿨은 노래를 정말 즐겁게 부르는게 느껴져요. 노래를 사랑한다는 느낌? 슬픈노래도 흥겹네요 ㅋㅋ
@wavewook3235,상당히 오랫동안 노래방 인기순위 1위였던곡 !
@sh-gv6jv,명곡이다!!
@user-jw1pu6yv6j,02년 생인데 진짜 이 때 노래가 더 너무 좋아요...아직 어리지만 그래도 옛날 생각도 나고..
@user-rh8to8tc5p,"이재훈 춤선 미쳤다,,,,일주일째 매일 보고있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
@user-xx1uc5rb2n,젊음 자체가 아름답구나~하고싶은 일을 하며 즐기는 삶이 얼마나 행복한것인가~~
@user-zk4gr7oc3n,진짜쿨은 편한그룹이였어~언제나 좋았던그룹쿨사랑해♡
@g.animal6357,2000년대 초 가족들과 해변가에서 라디오로 들었던 기억이 있네요 지금들어도 부족함이 없는 노래입니다!
@haneulk.9234,시간이 이렇게나 흘렀지만 아직도 여름하면쿨부터 생각나고 쿨노래찾게됨 노래맛집
@user-is8hk6px6p,이재훈 진짜  부티가잘잘노래 넘 좋아~~~
@user-yv6lr9dg2t,이재훈 외모가 빛난다 진짜~
@user-su4dd1zu5s,98년생이지만 너무 노래좋다 ㅠㅠ
@acewtf903,요즘은 노래에 가사를 억지로 끼어 맞추는데 이때만해도 가사가 자연스럽게 노래에 녹아들어간다
@user-tt5tr6kd8g,저때 노래들이 흥겹기론 쵝강이지
@user-xz9tn5rl7g,쿨노래넘나좋음.
@SuperSmile7777777,이 시대 노래에 내 감정의 상태를 짚어서 표현하는 가사가 좋다. 이때는 사람들이 이 상황에서 너와 내가 어떻게 느끼고 그래서 이런 결정으로 우리가 여기에 있다... 이런 서술이 흥에 녹아있다. 이시기 사람들 대화나 표현방식이 자유로워서 지금처럼 너무나 간결해서 생기는 오해는 없지않았을까
@user-sn8ss9ve7p,너무 즐겁해서 보는 나도 웃음짓게 된다 ㅎㅎ 좋다 쿨... 힐링된다 ㅋㅋ
@user-lr2fs7qr1s,지금도 노래방 가면 NO.1으로 선택하는 곡~
@jordenmc4231,고등학교때 듣던노래네...엊그제 같은데 벌써 추억의 노래라니...세월 참 빠르네...
@user-on4rn7gu9v,쿨 명곡~♡
@user-cg8qu9tq9t,노래는 90대노래가 제일좋음..
@realstone6623,와 이재훈 이땐 진짜 미친듯이 잘생겼구나
@user-jd7ft3yy1w,2023년에 들으러 왔습니다 ㅎㅎ여전히 노래가 좋네요
@user-dk5wu4vp1o,희대의 명곡
@user-vm6gc8xn9p,이재훈이 저렇게 멋지다는 걸 몇년전에 알게 됨
@user-ld8pi4hc6b,가사가 치명적이다 .2020.3월 듣고 있는사람 손들어.?!지금 들어도 낮설지않다.꺅.짱
@user-wq7eo9rc4w,쿨이 다시 뭉쳐서 노래하면 좋갯다아아아아 안대면 둘만이라도ㅠ
