comment
자전거타다가 숨차죽을뻔해서 지금 15분만에 뻗었습니다. 씐나게 달렸어요ㅋㅋ 페이스조절이 안될만큼 신나는 곡이네요. 리듬대로 운동할수있을때까지 화이팅!
노래가 정말 좋네요^^
덕분에 즐겁게 운동했습니다
등 운동 하는 날인데 열심히 땡겨볼게요ㅎㅎ
갑자기 운동이 급 땡깁니다~!!
음악이 넘 좋아요  리듬이 절로 몸을 뭄직이네여
아이들과 집안에서 운동시작이요~^^음악이..너무 흥겹네요!!
크..음악마저 완벽시간 가는줄 모르고 운동합니당
이게 무슨일이예요... 운동할때 들을 리스트 계속 찾고있었는데 ㅠㅠㅠ 여기 정착할게요 아드레날린 짱짱!! 유산소 30분정도 돌다가 웨이트 하면 딱이예요
진짜 너무 신나요 !!!!
덕분에 신나게 운동시작합니다! ><
플리 조타...! 역시 운동 좀 해본 사람이 운동할 때 맛깔나는 음악을 아는구만
시작부터 좋은데요~~~♡즐거운 운동 득근득근 ~♡
스쿼트하면서듣고있습니다강제로 헬스장온 느낌인데즐겁고 신나게 운동합니다저에게운동은 삶에 활력소입니다
오늘도 덕분에 즐거운 운동. 광고 없이 .감사합니다
새로운 노래 나왓으면 바로 운동하러가야지~~~
노래가 다 재밌고 신나요 딱 운동하기 좋은음악~
노래진짜좋아요 핏블리님짱
내일 피티 받으러 갈때 들으면서가야할듯 싶어요  왠지 신날것 같아요음악 듣는거 무지 좋아해서 헬스장운동 하는게 젤 행복하고 딸아이 잠시잊어버리고 제 시간을 가질수 있는 시간 2시간 이지만 그게 힐링하는시간이어서 ㅠㅠ젤 짜릿하게 하루를보내는데 음악이 짱이죠
운동 할때마다 자동으로 찾게되는 음악들입니다~오프닝부터 들썩들썩~
대박!!!넘 쒼나고 좋아요^^
노래 진짜 좋은 것들만 있네요!!!!!!!!!감사합니다!!!!!!!!!!!!!!!!!
저두 한달 쉬면서 7키로 찌운살 빼려고 ㅋㅋ 걷다가 우연히 검색해서 틀었는데 넘나 ~굿굿ㅎ
러닝할때 들으니까 좋네요
운동할때항상ㄷ.ㄷ고있어요너무좋아요
진짜 여지껏 들은 핼스 노래중 젤 맘에든다
최고예요??땀흠뻑 러닝머신 즐겁게 달렸어요
마라톤 대회 나가는데 노래 다운 받고 싶네요좋은 노래 감사합니다
대박~~~신나용~운동제대로하겠는데용~~~?
"이보다..더..좋은.운동곡""..또 있을까..☆감상잘했습니다"
운동 할 때 노래 들었어욤:3
너무좋아요. 감사합니다
저는 덕분에 운동도 지속하고있는데 무너지지마요
운동노래 좋아요~~
낼 공복 운동때 바로 들어야지 감사요 ^^
후.. 다듣고나니까 운동이 끝나있었습니다 감사합니다 후..
아따 좋은 노래만 들어있네~ 후반도 좋은 노래로 가득하길~~
지금 운동하면서 노래 듣는데 신나요
노래듣고 6개월째 운동중입니다~^_^
첫곡부터 좋아요.자면서 들을게요!
최고입니다!!!
역시 최고 !
이걸로 다이어트 할려구요! 좋은 음악 감사합니다
너무 좋아아ㅏ아ㅏㅏ아아아아ㅏ아아
블리형님이 이런 노래를 즐겨 듣는단 말이지? 흠
감사합니다 운동할때 핏블리노래가 젤좋아여
진짜 이거만한게 없ㅇ요. 런닝머신 뛸때 지옥임
"저는 개인적으로 드림캐쳐의 break the wall을 들어요가사에 힘껏 일어나, 다시 일어나 등 무거운거를 들때 좋은 내용이 있어서요ㅋ음악도 좋구욯ㅎ"
뭐 새로운 시작 새로운 출발 활기찬 출근 기분   출근때 차에서 들어야겟다
여전히 잘 듣고 있습니다 ㅎㅎㅎㅎ
짱이다 진짜 10월부터 운동해야지
우리 헬스장도 핏블리님 노래 틀더라고요??
오늘 운동 시작했는데 음악 덕분에 달립니다~~ 우후~~
노래 좋아요 ㅎ
핏블리님 아침부터 션케 뛰었습니다. 노래 고마워유 ^^*
힙합알엔비 틀어주는 헬스장 잇으면 참 즐거울텐데
이런 컨텐츠 조아효♡
노래가 음청 신이나네요!!
기대이상으로 너무 적절하네요.
노래좋다
전 퇴근길에 운전하면서 들을게요ㅋㅋㅋ피곤 날아갈 듯ㅋㅋ
한시간짜리네 딱이다 2배속으로 들어야지
이노래로 주넘기함 연습150개넘개함ㄷㄷ ㄷㄷ ㄷㄷ
항상 돌고돌아 여기로 정착하게됨 ㅠ
캬 첫곡부터 아드레날린 뿜뿜!!
운동 가려고 틀었다가 누워서 궁둥이 흔들고 있는 나는 ..
졸려서 틀었는데 ㅋㅋ어깨부터 깨네요 ~덩실덩실
와 첫곡부터 넘좋아요오오 롸잇웨잇베베~~!!!
근데 여기 나오는 노래 거의다 멜론에 없던데 어떻게 된거죠? ㅠㅠ
노래 들으면서 용두산공원에서 열심히 걷고 있습니다. 신나네요
아 노래 좋다 노래 좋아서 구독함
첫 소절듣자마자 ‘아 게임끝났다-‘ 바로 좋아요 눌러버림
까비~ 방금 밥먹었는데 소화 음악으로 들을게요~
나만 이거 공부할때 듣나?ㅋㅋㅋㅋ
41:57 이 노래 뭔가 Geometry dash Lite 게임에서 들어본 거 같음 익숙한 브금..
첫번째 노래 제목좀 누가 가르쳐주세요ㅜㅜ
내일부터 바로 듣겠습니다
핏블리님 다는 못 들었지만 그래도 57:41초까지는 들었어용
첫번째 노래는 제가 운동할 때 듣는 노래 해요
1:07:40내가쓸려고 만든 반복재생
업뎃 쏘리쥘러~~~~~~~~~~~오ㅜ 운동 방금 끝났는데 낼 새벽아침에 하체 조져야겠다
10/31 2:10 ~ 8:31~13:40
이런 컨텐츠 좋은데 오늘 운동은 끝났다..
이게 잴 좋음
내일도 운동가야겟구만
노래 좋아
역에서 집까지 신나게 걸어왔습니다^^
이번에는 꼭 다이어트 성공한다...
노래듣다가 분유먹이던 둘째신생아 안고 바벨컬 하다 와이프에게 등짝스매싱맞고 혈류가 등에 몰리어 등조지러 왔습니다
검색해서 이플리만 찾고 있었다고요 
제주도 한 바퀴 뛰면서 여기 채널 노래만 들었습니다 감사합니다.~
따봉버튼 눌렀어요^^
좋다 힘내라 이번엔 진짜 한다 정말 가자
즐감하고 있습니다.~~♧♧

오 좋당

락보다는 edm쪽이라 별로ㅠㅠ
세상은 날 알게 될 것이다
흠 급추워진 날씨때문인지 ?  코로나 때문인지?  헬스장에 사람이 한명두 없네용 오늘 가슴 등 찢고가야징 ㅎㅎ
와 ㅋㅋ 이런것 까지 ㄷㄷ
이런음악이 웨이트에 맞다고보나요?졸립지않나?
크
좋아요
오 오늘 이거 듣고해볼게여
로니콜먼으로 진화하겠습니다
굿


퇴근하고 운동하러 가는길  2빠

하체 조졋다
그래 바로 이거야
보정하신거 조금 킹받네요
핏블옵하 케이팝 있으면 소개 ~~
아 까비 오늘운동하고 왔는데 내일 듣겠습니다~3빠

썸네일의 남자가 처음보는 사람이라 이끌려 들어왔습니다
아 썸네일 포즈보고 1시간 제로투 도전하신줄

이제 썸넬 낯설....ㅋㅋㅋ
광고 진짜없나?
21.12.06 출석 1일차


광고 없다는디 바로떠버림
2/288:41
가슴삼두 조지러 왔습니다ㅎㅎ
이 썸네일 볼때마다  도대체가 적응이 안됨..미.......이남 이심돠  크크크크크크크크크킄ㅋㅋㅋ
광고 없다면서유.. 시작하자마자 광고 나오는디
썸넬 적응 안되네ㅋㅋㅋ
썸네일이 이상해요 잘생겼어요
난 몇등이지? 잘듣고 가요

"팝 말고, 한국 곡으로도 플레이리스트 짜주시면....안되겠죠? ㅠㅠ 바뿌시니까...그쵸? ㅠㅠ 휴..."
감사합니다. 구알댓
둠칫 둠칫 두둠칫
조쿠만
썸넬 무슨 일@.@
"운동복 구매, 필라테스 수강 모두 국민네고 핏팔에서 참여하세요! 지금 신청하면 룰루레몬, 필라테스 수강 선착순 10명 50% 할인해드려요! https://fitpal.me/"
광고 없다며 2개나 있다
광고 업대매
드가자마자 광고가 있는데요..

썸넬 누구시죠









오호




























